company,projectName,location,country,industry,region,type,services,date,completed,description,lat,lng
Adani Cementation Ltd.,"Consultant for conducting Geophysical Survey, Bathymetry Survey and Oceanographic Data Collection and Study for KORI creek during Monsoon and Post Monsoon for 10MTPA Lakhtap Clinkerisation unit",Not specified,India,Engineering & Construction,Asia,"Geophysical Survey, Bathymetry Survey and Oceanographic Data Collection",Geophysical Survey; Bathymetry Survey; Shallow & Deep Water Oceanography,01-07-2019,,"Consultant for conducting Geophysical Survey, Bathymetry Survey and Oceanographic Data Collection and Study for KORI creek during Monsoon and Post Monsoon for 10MTPA Lakhtap Clinkerisation unit",23.6,68.3
EGS (Asia) Ltd.,"Provision of Personnel Support onboard vessel ""Northern Endeavour""",Not specified,Singapore,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-07-2019,,"Provision of Personnel Support onboard vessel ""Northern Endeavour""",1.3521,103.8198
EGS (Asia) Ltd.,"Provision of Personnel Support onboard vessel ""EGS Surveyor""",Not specified,Singapore,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-07-2019,,"Provision of Personnel Support onboard vessel ""EGS Surveyor""",1.3521,103.8198
Howe Engineering Projects (India) Pvt. Ltd.,"Multi beam bathymetry survey works before monsoon and also after monsoon at Break water location at Vizhinjam, Kerala","Vizhinjam, Kerala",India,Engineering & Construction,Asia,Multi beam bathymetry survey,Bathymetry Survey,01-06-2019,,"Multi beam bathymetry survey works before monsoon and also after monsoon at Break water location at Vizhinjam, Kerala",8.3784,76.9905
EGS (Asia) Ltd.,DTS and Report for TEAS in Mumbai,Mumbai,India,Submarine Cable Contractors,Asia,Desktop Study for Offshore Projects,Desktop Study for Offshore Projects,01-06-2019,,DTS and Report for TEAS in Mumbai,19.076,72.8777
EGS (Asia) Ltd.,"Provision of Personnel Support onboard ""Northern Endeavour"" (Japan)",Not specified,Japan,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-05-2019,,"Provision of Personnel Support onboard ""Northern Endeavour"" (Japan)",36.2048,138.2529
Arcadis India Pvt. Ltd.,Offshore Marine Water & Sediment Sampling and Analysis,Not specified,India,Engineering & Construction,Asia,Offshore Platform Site & Pipeline Route Surveys,Offshore Platform Site & Pipeline Route Surveys; Shallow & Deep Water Oceanography,01-04-2019,,Offshore Marine Water & Sediment Sampling and Analysis,19.076,72.8777
Atlantis Consultancy,DTS of BMH location in Chennai,CHENNAI,India,Telecom Operators & Cable Owners,Asia,Desktop Study for Offshore Projects,Desktop Study for Offshore Projects,01-04-2019,,DTS of BMH location in Chennai,13.0827,80.2707
EGS (Asia) Ltd.,provision of Personnel Support onboard Vessel Northern Endeavour,Solomon Island,Solomon Islands,Submarine Cable Contractors,Oceania,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-01-2019,,provision of Personnel Support onboard Vessel Northern Endeavour,-9.6457,160.1562
Consultants Pvt. Ltd.,project provision of Personnel Support onboard vessel Northern Endeavour Oct - Dec 2CEGS (Asia) Ltd. (Solomon Island),Solomon Island,Solomon Islands,Survey & Geoscience Contractors,Oceania,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-01-2019,,project provision of Personnel Support onboard vessel Northern Endeavour Oct - Dec 2CEGS (Asia) Ltd. (Solomon Island),-9.6457,160.1562
Kongsberg Maritime India Pvt. Ltd.,"Training on SBP at Paira Port, Pathuakhali, Bangladesh",Bangladesh,Bangladesh,Marine Technology & Equipment,Asia,Consultancy for Offshore Projects,Consultancy for Offshore Projects,01-10-2018,,"Training on SBP at Paira Port, Pathuakhali, Bangladesh",21.95,90.3
EGS (Asia) Ltd.,Provision of Personnel Support onboard vessel RS Shankar (Taiwan),Taiwan,Taiwan,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys and Desktop Study,Submarine Cable Route Surveys; Desktop Study for Offshore Projects,01-10-2018,,provision of Personnel Support onboard vessel RS Shankar (Taiwan),23.6978,120.9605
Sapura Engineering & Construction (India) Pvt. Ltd.,Provision of Personnel Support onboard Vessel Northern Endeavour,Not specified,India,Engineering & Construction,Asia,Topographic Survey,Topographic Survey,01-10-2018,,Provision of Personnel Support onboard Vessel Northern Endeavour,19.076,72.8777
EGS (Asia) Ltd.,Provision of Personnel Support onboard vessel Northern Endeavour (Papua New Guinea),Papua New Guinea,Papua New Guinea,Submarine Cable Contractors,Oceania,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-09-2018,,Provision of Survey Support for CANI provision of Personnel Support onboard vessel Northern Endeavour (Papua New Guinea),-6.315,143.9555
Elcome Integrated,Training on Qinsy software at KERI Campus,Not specified,India,Marine Technology & Equipment,Asia,Consultancy for Offshore Projects,Consultancy for Offshore Projects,01-09-2018,,Training on Qinsy software at KERI Campus,19.076,72.8777
EGS (Asia) Ltd.,"Provision of Personnel Support - Shore based Geo for data processing, Hong Kong",Hong Kong,Hong Kong,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys and Desktop Study,Submarine Cable Route Surveys; Desktop Study for Offshore Projects,01-09-2018,,"Provision of Personnel Support - Shore based Geo for data processing, Hong Kong",22.3193,114.1694
Mantovani Dharti Pvt. Ltd.,"Side Scan Sonar Survey at Jafrabad, near Rajula, Gujarat","near Rajula, Gujarat",India,Engineering & Construction,Asia,Side Scan Sonar Survey,Geophysical Survey,01-09-2018,,"Side Scan Sonar Survey at Jafrabad, near Rajula, Gujarat",20.87,71.37
EGS (Asia) Ltd.,"Provision of Personnel Support - Shore based Geo for data processing, Hong Kong",Hong Kong,Hong Kong,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys and Desktop Study,Submarine Cable Route Surveys; Desktop Study for Offshore Projects,01-10-2018,,"Provision of Personnel Support - Shore based Geo for data processing, Hong Kong",22.3193,114.1694
EGS (Asia) Ltd.,"Provision of Personnel Support - Shore based Geo for data processing, Hong Kong",Hong Kong,Hong Kong,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys and Desktop Study,Submarine Cable Route Surveys; Desktop Study for Offshore Projects,01-08-2018,,"Provision of Personnel Support - Shore based Geo for data processing, Hong Kong",22.3193,114.1694
EGS (Asia) Ltd.,Provision of Personnel Support onboard vessel EGS Surveyor (Singapore),Singapore,Singapore,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-08-2018,,Provision of Personnel Support onboard vessel EGS Surveyor (Singapore),1.3521,103.8198
Adani Infra (India) Limited,Conducting sampling and testing of river water and bed for intake water system of 2x800 MW coal based 'Ultra Supercritical Thermal Power Project',Madhya Pradesh,India,Engineering & Construction,Asia,GEOTECHNICAL SURVEY,Geotechnical Services,01-07-2018,,Conducting sampling and testing of river water and bed for intake water system of 2x800 MW coal based 'Ultra Supercritical Thermal Power Project',22.25,76.15
EGS (Asia) Ltd.,"Provision of Personnel Support - Shore based Geo for data processing, Taiwan",Taiwan,Taiwan,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys and Desktop Study,Submarine Cable Route Surveys; Desktop Study for Offshore Projects,01-06-2018,,"Provision of Personnel Support - Shore based Geo for data processing, Taiwan",23.6978,120.9605
EGS (Asia) Ltd.,Provision of Personnel Support onboard vessel Geo Explorer (Peru),Peru,Peru,Submarine Cable Contractors,South America,Submarine Cable Route Surveys and Desktop Study,Submarine Cable Route Surveys; Desktop Study for Offshore Projects,01-06-2018,,Provision of Personnel Support onboard vessel Geo Explorer (Peru),-9.19,-75.0152
EGS Survey Pty. Ltd. (Australia),Provision of a Surveyor on board MV Solution (Mozambique),Mozambique,Mozambique,Submarine Cable Contractors,Africa,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-06-2018,,Provision of a Surveyor on board MV Solution (Mozambique),-18.6657,35.5296
EGS (Asia) Ltd.,Provision of Personnel Support onboard vessel Norther Endeavour,Not specified,Singapore,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-06-2018,,Provision of Personnel Support onboard vessel Norther Endeavour,1.3521,103.8198
EGS (Asia) Ltd.,Provision of Personnel Support onboard vessel EGS Surveyor,Not specified,Singapore,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-05-2018,,Provision of Personnel Support onboard vessel EGS Surveyor,1.3521,103.8198
HPCL - Mittal Pipeline Limited,"Offshore Seabed Engineering Survey off Modhva Coast, Gulf off Kutch","Gulf off Kutch, Gujarat",India,Oil & Gas,Asia,Offshore Platform Site & Pipeline Route Surveys,Offshore Platform Site & Pipeline Route Surveys,01-05-2018,,"Offshore Seabed Engineering Survey off Modhva Coast, Gulf off Kutch",22.86,69.37
EGS (Asia) Ltd.,Provision of Personnel Support onboard vessel Ridley Thomas,Not specified,Singapore,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-05-2018,Completed in May 2018,Provision of Personnel Support onboard vessel Ridley Thomas (Completed in May 2018),1.3521,103.8198
Atlantis Consultancy,DTS of two segments Havelock to Long Island and Long Island to Rangat - Andaman,Rangat - Andaman,India,Telecom Operators & Cable Owners,Asia,Desktop Study for Offshore Projects,Desktop Study for Offshore Projects,01-05-2018,,DTS of two segments Havelock to Long Island and Long Island to Rangat - Andaman,11.9761,92.9876
Vizhinjam International Seaport Ltd.,Geophysical Survey works at Vizhinjam,Vizhinjam,India,"Ports, Shipyards & Harbours",Asia,Geophysical Survey,Geophysical Survey,01-05-2018,,Geophysical Survey works at Vizhinjam,8.3784,76.9905
Indomarine Solutions,Bathymetry Survey at Ponnani and Kovalithottam,Ponnani and Kovalithottam,India,Survey & Geoscience Contractors,Asia,Bathymetry Survey,Bathymetry Survey,01-04-2018,,Bathymetry Survey at Ponnani and Kovalithottam,10.7766,75.925
Howe Engineering Projects (India) Pvt. Ltd.,"Observation of wave in the container jetty area during Monsoon 2018 at Vizhinjam Port, Kerala","Vizhinjam Port, Kerala",India,Engineering & Construction,Asia,Not specified,Shallow & Deep Water Oceanography,01-04-2018,,"Observation of wave in the container jetty area during Monsoon 2018 at Vizhinjam Port, Kerala",8.3784,76.9905
Sapura Engineering & Construction (India) Pvt. Ltd.,"Provision of Pre-Engineering, Pre-Installation & As Laid Survey Services – Fifth Oil Berth at Jawahar Dweep Project of MbPT",Not specified,India,Engineering & Construction,Asia,Topographic Survey,Topographic Survey,01-03-2018,,"Provision of Pre-Engineering, Pre-Installation & As Laid Survey Services – Fifth Oil Berth at Jawahar Dweep Project of MbPT",18.96,72.89
Tata Consulting Engineers Limited,"Geotechnical Investigation, Topographic & Geophysical Survey for Consultancy Services for DPR, Tendering & Contracting and PMC for Construction of Dry Dock, Wharves and Associated Facilities (DGNP – Kochi)",Kochi,India,Engineering & Construction,Asia,"Geotechnical Investigation, Topographic & Geophysical Survey for Consultancy Services for DPR and Consultancy for Offshore Projects",Geotechnical Services; Topographic Survey; Geophysical Survey; DPR Preparation for Offshore Industry; Consultancy for Offshore Projects,01-03-2018,,"Geotechnical Investigation, Topographic & Geophysical Survey for Consultancy Services for DPR, Tendering & Contracting and PMC for Construction of Dry Dock, Wharves and Associated Facilities (DGNP – Kochi)",9.9312,76.2673
TechnipFMC Ltd,Geophysical Survey Works for LNG/GAS Development Project,"Colombo, Sri Lanka",Sri Lanka,Oil & Gas,Asia,Geophysical Survey,Geophysical Survey,01-02-2018,,Geophysical Survey Works for LNG/GAS Development Project,6.9271,79.8612
Petronet LNG Limited,Bathymetry Survey at Kochi,Kochi,India,Oil & Gas,Asia,Bathymetry Survey,Bathymetry Survey,01-02-2018,,Bathymetry Survey at Kochi,9.9312,76.2673
Sarathy Geotech & Engineering Services Pvt Ltd,"Geophysical Survey work at Colombo, Sri Lanka","Colombo, Sri Lanka",Sri Lanka,Survey & Geoscience Contractors,Asia,Geophysical Survey,Geophysical Survey,01-02-2018,,"Geophysical Survey work at Colombo, Sri Lanka",6.9271,79.8612
Sanghi Industries Ltd.,Wave and Current Measurement of Sanghi Channel,Not specified,India,Industrial & Materials,Asia,Bathymetry Survey,Bathymetry Survey,01-02-2018,,Wave and Current Measurement of Sanghi Channel,23.48,68.43
Indomarine Solutions,Bathymetry Survey at Kanyakumari for Tamilnadu Maritime Board,Tamilnadu,India,Survey & Geoscience Contractors,Asia,Bathymetry Survey,Bathymetry Survey,01-12-2017,,Bathymetry Survey at Kanyakumari for Tamilnadu Maritime Board,8.0883,77.5385
Telecommunications Consultants India Limited (TCIL),Desktop study Lakshadweep,Not specified,India,Telecom Operators & Cable Owners,Asia,Desktop Study for Offshore Projects,Desktop Study for Offshore Projects,01-12-2017,,Desktop study Lakshadweep,10.5667,72.6167
Tata Consulting Engineers Limited.,"Preparation of a Techno Economic Feasibility Report for Development of Port at Vijaydurg, Maharashtra",Not specified,India,Engineering & Construction,Asia,DPR Preparation for Offshore Industry,DPR Preparation for Offshore Industry,01-12-2017,,"Preparation of a Techno Economic Feasibility Report for Development of Port at Vijaydurg, Maharashtra",16.5599,73.34
Howe Engineering Projects (India) Pvt. Ltd.,Geophysical Survey at Vizhinjam Port,"Tuticorin, Tamilnadu",India,Engineering & Construction,Asia,Bathymetry Survey,Bathymetry Survey,01-12-2017,,Geophysical Survey at Vizhinjam Port,8.7642,78.1348
Indominare Solutions,Bathymetry and Current Meter observation in Tuticorin,"Vizhinjam, Kerala",India,Survey & Geoscience Contractors,Asia,Sub-Bottom Profiling Survey,Geophysical Survey,01-12-2017,,Bathymetry and Current Meter observation in Tuticorin,8.3784,76.9905
Howe Engineering Projects (India) Pvt. Ltd.,"Sub-Bottom Profiling Survey at Thengapattanam for breakwater project at Vizhinjam, Kerala",Not specified,India,Engineering & Construction,Asia,Wide Area Positioning Services,Wide Area Positioning Services,01-12-2017,,"Sub-Bottom Profiling Survey at Thengapattanam for breakwater project at Vizhinjam, Kerala",8.2323,77.1706
Marine Engineering and Trade Services,Positioning Services,"Paradip Port, Odisha",India,Survey & Geoscience Contractors,Asia,Calibration Services,Wide Area Positioning Services,01-12-2017,,Positioning Services,20.2666,86.6666
Sadhav Shipping Ltd.,Calibration Services at Paradip Port,"Zafrabad, Delhi",India,"Marine Salvage, Diving & Shipping",Asia,Geophysical Survey,Geophysical Survey,01-12-2017,,Calibration Services at Paradip Port,28.6667,77.2667
National Marine & Infrastructure India Pvt. Ltd.,Magnetometer Survey at Zafrabad,Not specified,India,Survey & Geoscience Contractors,Asia,Consultancy for Offshore Projects,Consultancy for Offshore Projects,01-12-2017,,Magnetometer Survey at Zafrabad,19.076,72.8777
Elcome Integrated Systems Pvt. Ltd.,Provision of Survey personnel for Qinsy software,"Kutch, Gujarat",India,Marine Technology & Equipment,Asia,Bathymetry Survey,Bathymetry Survey,01-11-2017,,Provision of Survey personnel for Qinsy software,23.7337,69.8597
Adani Cementation Ltd.,"Bathymetry Survey for establishment of jetty and navigation channel for 10 MTPA Clinkerisation Unit at Lakhpat Dist. Kutch, Gujarat","Kukrahati, West Bengal",India,Engineering & Construction,Asia,Geophysical Survey,Geophysical Survey,01-11-2017,,"Bathymetry Survey for establishment of jetty and navigation channel for 10 MTPA Clinkerisation Unit at Lakhpat Dist. Kutch, Gujarat",22.1833,88.0833
H-Energy,"Pre-Engineering Geophysical Survey off Kukrahati, West Bengal","Cuddalore, Tamil Nadu",India,Oil & Gas,Asia,Bathymetry Survey,Bathymetry Survey,01-09-2017,,"Pre-Engineering Geophysical Survey off Kukrahati, West Bengal",11.75,79.7667
Bluefin Marine,Survey at Cuddalore,Not specified,India,Survey & Geoscience Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-09-2017,,Survey at Cuddalore,19.076,72.8777
EGS (Asia) Ltd.,Provision of personnel support on vessel Northern Endeavour,South East Kuwait for UXO Search,Kuwait,Submarine Cable Contractors,Middle East,Gradiometer Surveys for UXO Search,Gradiometer Surveys for UXO Search; Submarine Cable Route Surveys,01-08-2017,Completed in September 2017,Provision of personnel support on vessel Northern Endeavour (Completed in September 2017),29.3759,47.9774
MUSC FZE,Provision of Survey Engineer for the UXO and Underground Detection Works in South East Kuwait Construction Project,Not specified,Kuwait,"Government, Defence & Public Sector",Middle East,Gradiometer Surveys for UXO Search,Gradiometer Surveys for UXO Search,01-08-2017,,Provision of Survey Engineer for the UXO and Underground Detection Works in South East Kuwait Construction Project,29.3759,47.9774
"IIT, Mumbai",Mithi river discharge measurement,Kolkata Port,India,Academia & Research,Asia,GEOTECHNICAL SURVEY,Geotechnical Services,01-07-2017,,Mithi river discharge measurement,22.5726,88.3639
"IIT, Chennai",Carrying out discharge measurement and water sample analysis at Kolkata Port Trust,Tamil Nadu,India,Academia & Research,Asia,Bathymetry Survey,Bathymetry Survey,01-07-2017,,Carrying out discharge measurement and water sample analysis at Kolkata Port Trust,11.1271,78.6569
"IIT, Chennai",Boat for Bathymetry Survey along Devaneri Coast of Tamil Nadu,"Dahej, Gogha and Ullal",India,Academia & Research,Asia,Weather Forecasting Services,Weather Forecasting Services,01-06-2017,,Boat for Bathymetry Survey along Devaneri Coast of Tamil Nadu,21.7,72.6
Dharti Dredging and Infrastructure Ltd.,"Weather Forecasting Services for Dahej, Gogha and Ullal",Not specified,India,Engineering & Construction,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-06-2017,,"Weather Forecasting Services for Dahej, Gogha and Ullal",19.076,72.8777
EGS (Asia) Ltd.,Provision of personnel support on vessel Northern Endeavour,Not specified,Singapore,Submarine Cable Contractors,Asia,"Sand Resource, Bathymetry Survey AND Shallow & Deep Water Oceanography",Bathymetry Survey; Shallow & Deep Water Oceanography; Submarine Cable Route Surveys,01-05-2017,Completed in June 2017,Provision of personnel support on vessel Northern Endeavour (Completed in June 2017),1.3521,103.8198
Beach Sanctuary Pte Ltd.,"Sand Resource, Bathymetry, Beach Profiling and Oceanographic Survey","Uran, MUMBAI",India,Other,Asia,Offshore Platform Site & Pipeline Route Surveys,Offshore Platform Site & Pipeline Route Surveys,01-05-2017,,"Sand Resource, Bathymetry, Beach Profiling and Oceanographic Survey",18.8833,72.9333
SARK EPC Projects Pvt. Ltd,Carrying out off shore survey on Uran Mandwa pipeline for GAIL Mumbai Project (Approx 10 Km),Bangladesh,Bangladesh,Engineering & Construction,Asia,Geophysical Surveys,Geophysical Survey,01-05-2017,,Carrying out off shore survey on Uran Mandwa pipeline for GAIL Mumbai Project (Approx 10 Km),23.685,90.3563
Petronet LNG Ltd.,Marine Geophysical Surveys for LNG Terminal at Kutubdia Island (Bangladesh),Gujarat,India,Oil & Gas,Asia,Bathymetry Survey,Bathymetry Survey,01-03-2017,,Marine Geophysical Surveys for LNG Terminal at Kutubdia Island (Bangladesh),22.2587,71.1924
Infinium Solutionz,Bathymetry Survey for Various Ports of Gujarat,"Nemili, Tamil Nadu",India,Survey & Geoscience Contractors,Asia,Geophysical Survey,Geophysical Survey,01-02-2017,,Bathymetry Survey for Various Ports of Gujarat,12.7167,80.1167
Larsen & Toubro,Geophysical Survey at Nemelli,"Jafarabad, Gujarat",India,Engineering & Construction,Asia,Bathymetry Survey,Bathymetry Survey,01-02-2017,,Geophysical Survey at Nemelli,20.87,71.37
National Marine and Infrastructure (I) Pvt. Ltd.,"Multibeam Survey for Swan LNG Port at Jafarabad, Gujarat","Vadinar, GUJARAT",India,Survey & Geoscience Contractors,Asia,Offshore Platform Site & Pipeline Route Surveys,Offshore Platform Site & Pipeline Route Surveys,01-01-2017,,"Multibeam Survey for Swan LNG Port at Jafarabad, Gujarat",22.2833,69.7
Indian Oil Corporation Limited,"Off-Shore Pipeline Survey of 42” dia. pipeline at WRPL, Vadinar",Bangladesh,Bangladesh,Oil & Gas,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-01-2017,,"Off-Shore Pipeline Survey of 42” dia. pipeline at WRPL, Vadinar",22.3569,91.7832
EGS (Asia) Limited,"Proposed Submarine Power Cable Survey between Chittagong and Sandwip, Bangladesh","Paradip Port, ODISHA",India,Submarine Cable Contractors,Asia,"Geophysical Survey, Bathymetry Survey and Topographic SURVEY",Geophysical Survey; Bathymetry Survey; Topographic Survey; Submarine Cable Route Surveys,01-01-2017,,"Proposed Submarine Power Cable Survey between Chittagong and Sandwip, Bangladesh",20.2666,86.6666
Howe Engineering Projects (India) Pvt. Ltd.,"Geotechnical Investigation, Topographic, Bathymetric & Geophysical Survey for preparation of Detailed Project Report for an Outer Harbour nearer to the south of existing south breakwater of Paradip Port",Not specified,India,Engineering & Construction,Asia,"Bathymetry Survey, Geophysical Survey and Topography Survey",Bathymetry Survey; Geophysical Survey; Topographic Survey,01-01-2017,,"Geotechnical Investigation, Topographic, Bathymetric & Geophysical Survey for preparation of Detailed Project Report for an Outer Harbour nearer to the south of existing south breakwater of Paradip Port",20.2666,86.6666
National Marine Dredging Company,"Bathymetry, Geophysical and Topography Survey at Swan India Project",Not specified,India,Engineering & Construction,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-11-2016,,"Bathymetry, Geophysical and Topography Survey at Swan India Project",19.076,72.8777
EGS (Asia) Ltd.,"Provision of Personnel Support on board vessel ""Voyager""","Mormugao Port, Goa",India,Submarine Cable Contractors,Asia,Bathymetry Survey,Bathymetry Survey; Submarine Cable Route Surveys,01-11-2016,,"Provision of Personnel Support on board vessel ""Voyager""",15.4167,73.8
Arihant Ship Breakers,"Wreck Survey off Mormugao Port, Goa",Not specified,India,"Marine Salvage, Diving & Shipping",Asia,Not specified,Geophysical Survey,01-11-2016,,"Wreck Survey off Mormugao Port, Goa",15.4167,73.8
KPB Consultants Ltd.,Marine Monitoring in Sohar,Sohar,Oman,Engineering & Construction,Middle East,Marine Monitoring Services,Shallow & Deep Water Oceanography,01-10-2016,,Marine Monitoring in Sohar,24.3667,56.7167
Punj Lloyd Ltd.,"Pre-Engineering, Pre-Construction and As Built Survey for Sub Marine Pipeline and Cable from Jawahar Dweep to Pir Pau",Jawahar Dweep to Pir Pau,India,Engineering & Construction,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-10-2016,,"Pre-Engineering, Pre-Construction and As Built Survey for Sub Marine Pipeline and Cable from Jawahar Dweep to Pir Pau",18.96,72.89
KPB Consultants Ltd.,Marine Monitoring Services for DDV Survey at New Lusail Island and Channel (Qatar),"New Lusail Island, Qatar",Qatar,Engineering & Construction,Middle East,Marine Monitoring Services,Shallow & Deep Water Oceanography,01-10-2016,,Marine Monitoring Services for DDV Survey at New Lusail Island and Channel (Qatar),25.4,51.5167
Adani Ports & Special Economic Zone Ltd.,Providing Survey Services at Vizhinjam Port,Vizhinjam Port,India,"Ports, Shipyards & Harbours",Asia,Bathymetry Survey,Bathymetry Survey,01-10-2016,,Providing Survey Services at Vizhinjam Port,8.3784,76.9905
Elcome Integrated Systems Pvt. Ltd.,Provision of Survey personnel for Qinsy software,Not specified,India,Marine Technology & Equipment,Asia,Consultancy for Offshore Projects,Consultancy for Offshore Projects,01-10-2016,,Provision of Survey personnel for Qinsy software,19.076,72.8777
Reliance Power Ltd.,"Bathymetry and Geophysical Survey at Kutubdia Island, Bangladesh","Kutubdia Island, Bangladesh",Bangladesh,Power & Renewables,Asia,Bathymetry AND Geophysical Survey,Bathymetry Survey; Geophysical Survey,01-10-2016,,"Bathymetry and Geophysical Survey at Kutubdia Island, Bangladesh",23.685,90.3563
Dharti Dredging and Infrastructure Ltd.,Consulting Services towards Weather forecasting for Kudankulam and Vizhinjam Port,Kudankulam and Vizhinjam Port,India,Engineering & Construction,Asia,Weather Forecasting Services,Weather Forecasting Services,01-10-2016,,Consulting Services towards Weather forecasting for Kudankulam and Vizhinjam Port,8.3784,76.9905
MUSC FZE,Survey Support Services for MUSC UXO Survey off Kuwait,Kuwait,Kuwait,"Government, Defence & Public Sector",Middle East,Gradiometer Surveys for UXO Search,Gradiometer Surveys for UXO Search,01-10-2016,,Survey Support Services for MUSC UXO Survey off Kuwait,29.3759,47.9774
G.R.S. Consultant FZE,UXO Survey data Acquisition and interpretation (UK),United Kingdom,United Kingdom,Survey & Geoscience Contractors,Europe,Gradiometer Surveys for UXO Search,Gradiometer Surveys for UXO Search,01-10-2016,,UXO Survey data Acquisition and interpretation (UK),55.3781,-3.436
KPB Consultants Ltd.,Marine Ecological Studies (KSA),Kingdom of Saudi Arabia,Saudi Arabia,Engineering & Construction,Middle East,Marine Ecological Studies,Shallow & Deep Water Oceanography,01-10-2016,,Marine Ecological Studies (KSA),23.8859,45.0792
MicroStep-MIS FZE,Deployment of Weather Monitoring Buoys off Kuwait,Kuwait,Kuwait,Marine Technology & Equipment,Middle East,Weather Monitoring,Weather Forecasting Services,01-10-2016,,Deployment of Weather Monitoring Buoys off Kuwait,29.3759,47.9774
Standards Environmental & Analytical Laboratories,"Environmental Monitoring for IOCL, Kochi",Kochi,India,Engineering & Construction,Asia,Environmental Monitoring,Shallow & Deep Water Oceanography,01-10-2016,,"Environmental Monitoring for IOCL, Kochi",9.9312,76.2673
"IIT, Bombay",Mithi River Discharge Measurement,Mithi River,India,Academia & Research,Asia,GEOTECHNICAL SURVEY,Geotechnical Services,01-10-2016,,Mithi River Discharge Measurement,19.076,72.8777
Shrikhande Consultants Pvt. Ltd.,"Consultancy Services for undertaking feasibility study for capital dredging at SBW jetty at ND (MB) for Naval Dockyard, Mumbai - Survey Work","Naval Dockyard, Mumbai",India,Engineering & Construction,Asia,Bathymetry Survey,Bathymetry Survey,01-10-2016,,"Consultancy Services for undertaking feasibility study for capital dredging at SBW jetty at ND (MB) for Naval Dockyard, Mumbai - Survey Work",18.922,72.819
Consultants Pvt. Ltd.,"Cochin Port Kochi, Kerala","Cochin Port, Kochi, Kerala",India,Engineering & Construction,Asia,Not specified,Bathymetry Survey,01-04-2016,,"Cochin Port Kochi, Kerala",9.9312,76.2673
Adani Vizhinjam Port Pvt. Ltd.,Shoreline Monitoring - Oceanographic & Bathymetric Data Collection,Not specified,India,"Ports, Shipyards & Harbours",Asia,Shallow & Deep Water Oceanography AND Bathymetry Survey,Shallow & Deep Water Oceanography; Bathymetry Survey,01-02-2016,,Shoreline Monitoring - Oceanographic & Bathymetric Data Collection,8.3784,76.9905
Swiber Offshore Construction Pte. Ltd.,"Side Scan Survey for As-laid 20"" Pipeline from C-24-P1 to TCPP North of Mumbai High, Tapti Oilfield, Off Daman, West Coast of India","Tapti Oilfield, West Coast of India",India,Engineering & Construction,Asia,Offshore Platform Site & Pipeline Route Surveys,Offshore Platform Site & Pipeline Route Surveys,01-02-2016,,"Side Scan Survey for As-laid 20"" Pipeline from C-24-P1 to TCPP North of Mumbai High, Tapti Oilfield, Off Daman, West Coast of India",19.076,72.8777
Infinium Solutions Pvt. Ltd.,Bathymetric Survey at Okha and Porbander Port,"Okha and Porbander Port, Gujarat",India,Survey & Geoscience Contractors,Asia,Bathymetric Survey,Bathymetry Survey,01-02-2016,,Bathymetric Survey at Okha and Porbander Port,21.6417,69.6
"Tecnica T Proyectos, S.A. (TYPSA, Spain)",of detailed project report for development of Colachel port in Tamil,"Colachel port, Tamil Nadu",India,Engineering & Construction,Asia,Consultancy for Offshore Projects,Consultancy for Offshore Projects,01-02-2016,,of detailed project report for development of Colachel port in Tamil,11.75,79.7667
Cairn India Ltd.,Vessel Positioning Services for Ravva Field,Not specified,India,Oil & Gas,Asia,Wide Area Positioning Services,Wide Area Positioning Services,01-01-2016,,Vessel Positioning Services for Ravva Field,16.37,82.33
Dahej Harbour Infrastructure Limited,"Bathymetric Survey of DHIL Jetty at Dahej, Gujarat","DHIL Jetty at Dahej, Gujarat",India,"Ports, Shipyards & Harbours",Asia,Bathymetric Survey,Bathymetry Survey,01-01-2016,,"Bathymetric Survey of DHIL Jetty at Dahej, Gujarat",21.7,72.6
